CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	Cosine06	Cosine07	X	Y	Z	RotX	RotY	RotZ	AROMAAggrComp03	AROMAAggrComp10	AROMAAggrComp12	AROMAAggrComp14	AROMAAggrComp19	AROMAAggrComp20	AROMAAggrComp25	AROMAAggrComp29	AROMAAggrComp35	AROMAAggrComp36	AROMAAggrComp42	AROMAAggrComp45	AROMAAggrComp46	AROMAAggrComp50	AROMAAggrComp51	AROMAAggrComp53	AROMAAggrComp54
4715.346066573001	4909.426272720083	4862.612041130171	n/a	n/a	n/a	n/a	-0.0592166032	0.0628918587	-0.013709990900000002	-0.0313174429	0.0361235038	-0.0413830468	0.0030079140999999996	0.009740610600000001	-0.0094377178	0.0333031497	-0.0223920102	0.0031808013	0.0809765591	0.0809733373	0.0809679679	0.0809604508	0.0809507863	0.0809389747	0.0809250162	0.0809089113	0.014082	0.0152809	-4.01102e-06	-0.000136151	-0.000457359	0.00028999	1.034080284	-0.684170716	-1.078006024	0.2414384748	0.2492694606	-2.03967544	-0.4666907478	1.062466077	-1.569554711	1.346532069	-1.29352848	-0.5196302598	-0.2423446136	-0.8859388239	-0.9332264739	0.07956553505	-0.2612989192
4717.9209697339365	4900.866222866654	4853.7281640306865	0.94326264	15.0100956	0.86444938	0.07952575102	0.0067988114	0.0390179893	-0.0229911793	0.0256886106	0.0005561218	0.0065694328	0.012074078500000002	-0.0194348	-0.0019755320000000003	-0.0527665735	-0.041908127999999996	-0.013010831100000002	0.0809679679	0.0809389747	0.0808906604	0.0808230366	0.0807361194	0.0806299295	0.0805044922	0.08035983769999999	0.00299901	0.0276723	0.0183865	-0.0008103099999999998	-0.000529796	0.000283369	0.9107253479	-0.848487077	-1.408273032	0.4295704171	0.7840721248	-1.445499812	-0.4285474466	-0.2892829143	-0.8226662964	1.080865958	0.7654875213	-1.162383083	0.1960901122	-0.7702841706	-0.4418846905	-0.09889968607	0.5256866351
4725.817590130896	4907.646585415312	4860.376131808913	1.10313404	17.55412102	0.92518485	0.09083909999999998	0.0527042876	-0.009986746	0.12364052449999999	-0.0227113069	0.0502583321	0.078414035	-0.0021352952	-0.0019464	0.0149541691	-0.0026818946999999996	0.011984836	0.042026226900000005	0.0809507863	0.080870264	0.0807361194	0.0805484415	0.08030735480000001	0.080013019	0.0796656295	0.0792654164	0.00462342	0.0275504	-0.00230499	0.000232732	-0.000359987	0.000128194	1.177376936	-0.316077694	-1.326058907	-1.492024838	-1.576897865	0.3368166614	-0.6015657576	-0.8417820512	-1.616198873	0.8532879275	-1.369633404	-0.219266896	-0.8403267909	0.2936796963	-1.459476107	-2.189689211	-0.2833860727
4716.86729908932	4907.365029876145	4852.321888237986	1.12316465	17.87286758	0.92985672	0.088307484	0.021222767799999997	-0.018306086000000003	0.11388397199999999	0.0083246672	-0.0745523157	-0.0078500481	0.008918968900000001	0.012565193700000001	-0.0185181253	-0.0203661433	-0.014822383	-0.0530757418	0.0809250162	0.08076723429999999	0.0805044922	0.0801371315	0.0796656295	0.0790905989	0.0784127871	0.07763307480000001	1.3826e-05	0.0316521	0.0302101	-0.000643107	-0.000412345	0.000141619	0.9847772491	-0.6794740714	-0.6320192289	-1.079158164	-0.8597558794	-0.09457717477	-1.08841495	0.6441767819	-1.817780046	1.318560376	0.05887664938	-2.458908009	-1.961657526	-1.967908589	-2.838033313	0.9136203308	1.216555609
4696.405244385389	4906.6687556569395	4846.5698077025	1.05674636	16.81595612	0.94606519	0.093995644	-0.09890881050000001	0.00038017709999999997	-0.024022979500000003	0.0812656092	-0.0437750042	0.068038121	-0.0049120776	0.007108024300000001	0.0098025623	-0.0382270458	0.0407035197	-0.0411555979	0.0808906604	0.0806299295	0.08019600019999999	0.07958980480000001	0.0788126453	0.07786619110000001	0.0767524754	0.07547389040000001	0.0121823	0.018726	0.00363433	0.000138613	-0.000408714	0.000202774	1.248438598	-0.3948362683	-1.442948585	-0.392165167	-0.2969807181	-2.718578869	-0.7950306918	0.3933947392	-0.6436662705	0.644898792	0.2739275997	0.03101034011	-0.7093227163	-0.3221615396	-0.9220961285	0.5278095818	0.7382231387
4705.684494124143	4905.461372701728	4850.305533437561	1.01175225	16.09996796	0.90137631	0.0691845716	-0.013280463700000002	0.0198484331	-0.0517046944	-0.0373701248	0.009203327800000001	0.0233301494	0.0133282577	0.0144529625	0.0063689825	-0.016248985	-0.010552473500000001	0.0053057599	0.0808477225	0.0804584077	0.07981093780000001	0.0789073903	0.0777506641	0.0763444708	0.0746933222	0.072802516	2.12984e-05	0.0220905	0.0323244	-0.000273072	-0.000435254	0.000141619	1.004138326	-0.7832613946	-0.9435406504	0.9575981843	0.9412449703	-1.939203941	-0.7579973646	0.8781783415	-0.6634874868	1.102555098	-1.140798212	-1.830776538	-0.2740552006	-1.901641942	-1.85034675	-0.4088915896	0.06274100126
4718.891012881778	4906.990241566096	4849.602581473053	1.0927887	17.38949585	0.88884175	0.0473362516	0.0366921282	-0.0195024985	-0.0009485382	0.061066598	-0.0810002662	-0.0030539409999999997	-0.0005765680000000001	0.012741096	0.0188042162	-0.0152133342	-0.0711803557	0.049246495	0.08079620700000001	0.0802527418	0.0793496727	0.0780910462	0.0764825022	0.0745312482	0.07224602769999999	0.0696370805	0.00639795	0.0137312	0.00480605	-0.000273072	-0.000434649	0.000242653	1.157440656	-0.7270237567	-1.307001666	-1.298831434	-0.0002356159664	-0.6290633567	-0.6303126755	-1.292165443	-0.6607916523	0.01543029811	0.4942379113	-0.4785962611	0.2952946065	-2.062529864	-0.7212883475	1.279491524	-0.6412607506
4707.520896649735	4912.54065585743	4854.984263235269	1.15642786	18.40218353	0.9171719	0.02817657	-0.0780985578	-0.0135723151	0.0457804109	0.024687721	-0.013924151999999999	0.0189268399	-0.008027017	0.042816893700000004	-0.010006475400000001	0.0158670744	0.004938077700000001	-0.0594684434	0.0807361194	0.080013019	0.0788126453	0.0771421583	0.0750115224	0.0724334467	0.0694233093	0.06599906559999999	0.00725472	0.0195184	0.0164935	-0.000273072	-0.0002408	0.000245707	1.012889736	-0.4737320887	-0.822007113	-0.8293765704	0.007656733882	-1.115838902	-0.6763626851	0.8508907286	-1.86396063	1.911770585	-1.497836488	-1.418675621	-1.582525892	-2.480540899	-0.7048102739	-1.433459344	-0.545650634
4702.36876236756	4911.245890394856	4850.145544718882	1.13699913	18.09301567	0.94272858	0.04026321287	-0.0049423917	0.0158128646	-0.07104518900000001	-0.0158582487	-0.0036833177	0.04992995150000001	-0.0130616531	-0.006119057099999999	-0.015531938700000001	0.0235732733	-0.0179919657	0.0479286793	0.080667466	0.07973934120000001	0.0782003683	0.0760623369	0.0733416255	0.0700590762	0.0662398352	0.06191316	-3.37287e-06	0.031651	0.00973768	-0.000155745	-0.00032416	0.00016406	1.198447195	-0.6443694969	-1.552896104	1.445440996	0.4763849473	-1.562881703	-0.5561455247	-0.208214457	-0.2283760845	0.2187150904	0.7619804347	-0.3811561009	-0.3907204588	-0.8786973938	-1.2401253	0.9488615825	0.7235647079
4734.2763234023405	4912.590058082642	4853.512483090038	1.0475359	16.66939163	0.92465597	0.02938573287	0.1002046057	-0.0054978715	0.026409711800000003	0.0507338587	0.0901856322	0.0014602045	-0.0099251105	0.033082251800000004	-0.01066559	0.0772701196	-0.0188971387	0.0282614181	0.0805902543	0.0794318243	0.0775134264	0.074853415	0.07147723980000001	0.0674172026	0.062712148	0.0574070918	0.007931759999999998	0.0251322	0.00974433	-0.000273072	-0.000142984	0.00016406	1.10551173	-0.5414267126	-1.101053238	-1.000846633	-0.94539906	0.2748270808	-1.293110141	-0.534463082	0.7255534439	0.648319385	-1.680348158	-0.7858563931	-0.5474733106	-1.316939275	-1.148001665	-0.1690533438	-1.308427352
